Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128C, Sample, n/a, Earth_F3	Abundances Count: F8: 128C, Sample, n/a, Earth_F3	Modifications
Q7KUD4	phospholipase A2	6.43	6	7	0	84160.05053	7	
Q7KUK9	Uncharacterized protein, isoform B	8.51	13	14	7	219856.2905	14	
Q7KUL1	Dally-like, isoform C	2.23	2	2	0	6074.4018	2	
Q7KUT5	Protein MIX23	26.89	3	3	0	69202.3363	3	
Q7KUU5	Sulfhydryl oxidase	19.16	5	6	0	350545.8092	6	
Q7KUW2	5' nucleotidase B, isoform B	8.17	5	6	0	78137.95670000001	6	
Q7KUX7	Eukaryotic translation initiation factor 4H	47.21	15	38	0	612916.19532	32	
Q7KV27	alanine transaminase	54.93	32	121	0	24007978.8541	115	
Q7KV34	Pinkman	57.32	33	64	33	4975200.8579	62	
Q7KV94	Purine nucleoside phosphorylase	12.18	4	4	0	61253.394700000004	4	
Q7KVI9	Uncharacterized protein, isoform B	22.45	5	18	2	1011393.4632000001	16	
Q7KVL7	Vacuolar protein sorting-associated protein 35	4.73	4	4	0	74997.6613	4	
Q7KVX1	Pyruvate dehydrogenase E1 component subunit alpha	44.47	21	93	0	22423027.6346	83	
Q7KY04	small monomeric GTPase	23.47	5	14	4	18368.1335	2	
Q7PL91	GEO11417p1	30.85	5	12	5	1538296.9053	11	
Q7PLE9	Ras-related protein Rab-21	18.02	4	4	0	11100.4536	3	
Q7PLI0	P120 catenin	17.03	14	17	14	568015.98895	15	
Q7PLL3	Eukaryotic initiation factor 4B	28.98	15	27	3	924971.8509	26	
Q7PLS1	LD01937p	14.61	5	6	0	203896.35350000003	4	
Q7PLT4	Translocase of the inner mitochondrial membrane 17b, isoform A	19.65	3	5	3	84361.0067	4	
Q7YU88	SD08871p	4.1	3	3	0	4705.85893	2	
Q86B44	Glutathione synthetase	19.4	8	9	0	129832.83184000001	8	
Q86B74	WASp, isoform C	10.53	4	4	0	76450.285	4	
Q86B93	Uncharacterized protein, isoform D	14.02	2	2	0	28022.646999999997	2	
Q86BG8	Terminal ADP-ribose protein glycohydrolase 2, isoform C	4.06	1	1	0	11170.221	1	
Q86BI3	Zinc-finger protein at 72D, isoform B	16.06	12	16	3	669654.3905	16	
Q86BM0	Uncharacterized protein, isoform A	30.62	8	17	8	425333.4605	14	
Q86BM5	A kinase anchor protein 200, isoform D	16.49	13	29	1	1080000.3773	27	
Q86BP1	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	40.41	14	27	0	1726271.4854000001	22	
Q86BQ4	Histidine triad nucleotide binding protein 1, isoform B	70.63	7	23	0	3259933.234	21	
Q86BR8	Mitochondrial transcription factor A, isoform B	38.73	13	38	0	1501137.8246	36	
Q86BS3	Chromator, isoform A	35.53	26	44	26	1354492.1053	40	
Q86BS7	Glycogen debranching enzyme	2.2	4	4	0	19837.217099999998	3	
Q86PD3	Persulfide dioxygenase ETHE1, mitochondrial	48.03	13	25	13	1335272.5107	25	
