Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128C, Sample, n/a, Earth_F2	Abundances Count: F5: 128C, Sample, n/a, Earth_F2	Modifications
Q9VH69	Small ribosomal subunit protein uS14	35.71	2	9	0	627841.732	7	
Q9VH95	Cytosolic Prostaglandin E synthase	47.83	8	26	8	1587550.6668	19	
Q9VHA0	Polycomb protein Scm	2.74	2	2	0	2415.851	1	
Q9VHD2	Probable maleylacetoacetate isomerase 2	21.59	5	8	5	89114.90890000001	8	
Q9VHD3	Probable maleylacetoacetate isomerase 1	20.73	4	5	4	52571.2472	5	
Q9VHG4	ATPase H(+)-transporting accessory protein 2	16.56	6	10	6	280182.194	10	
Q9VHI7	E3 ubiquitin-protein ligase Iruka	24.74	7	10	7	50513.5939	8	
Q9VHK6	Iron-sulfur cluster assembly enzyme IscU	21.43	4	6	4	255970.08000000002	6	
Q9VHN6	Large ribosomal subunit protein bL19m	8.82	2	4	2	18646.9326	4	
Q9VHP0	ATP-dependent RNA helicase bel	25.06	16	22	0	157724.88052	18	
Q9VHR6	Autophagy-related protein 13 homolog	1.72	1	1	1	3999.0027	1	
Q9VHR8	Dipeptidyl peptidase 3	35.75	26	55	26	1616488.25679	52	
Q9VHS2	Cytochrome c oxidase subunit 7A, mitochondrial	75.28	8	49	0	4648363.2627	45	
Q9VI10	Probable small nuclear ribonucleoprotein Sm D2	40.34	5	6	5	151535.243	6	
Q9VI13	Serine/threonine-protein kinase Pak	4.26	3	3	0	30259.3616	3	
Q9VI25	Neurochondrin homolog	2.35	2	2	2	5182.552	1	
Q9VI55	E3 UFM1-protein ligase 1 homolog	9.97	9	9	0	102063.6974	8	
Q9VI75	Phosphatidylinositol-binding clathrin assembly protein LAP	56.2	20	89	2	176303.23296	12	
Q9VIH3	Microsomal triacylglycerol transfer protein	2.03	2	2	2	19518.605000000003	2	
Q9VIH9	UPAR/Ly6 domain-containing protein CG9338	48.3	6	15	6	599147.15143	15	
Q9VII1	UPAR/Ly6 domain-containing protein bero	54.05	7	16	7	608571.6518999999	14	
Q9VIM5	Actin-related protein 2/3 complex subunit 2	23.26	6	6	0	127204.32400000001	5	
Q9VIQ0	Short neuropeptide F	9.25	2	3	2	51113.57545	3	
Q9VIT0	DNA sliding clamp PCNA2	12.94	4	4	4	36338.15294	3	
Q9VIV2	Zinc finger protein swm	2.92	3	4	0	11899.8085	3	
Q9VIW3	Ran GTPase-activating protein	13.42	8	13	0	535557.223	11	
Q9VJ26	EF-hand domain-containing protein D2 homolog	46.08	9	15	0	394150.2123	14	
Q9VJ31	Betaine-homocysteine S-methyltransferase	13.9	5	7	5	187826.641	7	
Q9VJ33	Ubiquitin-like protein NEDD8	27.38	3	9	0	143795.9892	7	
Q9VJC7	Elongation factor Ts, mitochondrial	18.87	6	10	6	329936.66099999996	8	
