Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
Q9VHE5	Large ribosomal subunit protein eL34	17.86	4	9	0	49085.3867	6	
Q9VHF9	Uncharacterized protein, isoform B	10.11	2	10	2	84622.4859	8	
Q9VHG6	Insulator binding factor 2	22.05	5	9	5	32554.4989	8	
Q9VHH8	Beag	6.82	4	8	4	24238.55466	7	
Q9VHI1	Hyrax	7.06	4	6	4	11845.060440000001	5	
Q9VHI8	Uncharacterized protein, isoform A	26.09	8	21	1	317436.96623	20	
Q9VHJ2	LD32381p	2.65	1	1	1	2936.8289	1	
Q9VHJ5	Carbonic anhydrase	10.98	3	4	2	20638.215	2	
Q9VHJ7	LD41978p	4.65	3	3	3	10905.277	1	
Q9VHL2	T-complex protein 1 subunit eta	38.79	20	47	20	610282.68744	39	
Q9VHM3	LD30467p	10.77	5	8	5	19327.62183	6	
Q9VHN4	GH14121p	9.77	3	5	3	6735.9743	3	
Q9VHN7	transketolase	22.36	14	33	2	518799.7687	24	
Q9VHQ0	Large ribosomal subunit protein mL66	5.16	1	2	1	6454.6562	1	
Q9VHT3	CG9617 protein	15.17	3	3	3	12752.659099999999	2	
Q9VHT5	Large ribosomal subunit protein uL1m	10.73	4	7	4	26418.51003	6	
Q9VHX2	GH08043p	9.4	4	7	4	12984.01525	5	
Q9VHX4	LD24679p	66.57	21	108	21	4049168.5985399997	90	
Q9VI04	Beta-ureidopropionase	13.47	5	8	5	16248.21115	5	
Q9VI09	GH14494p	49.01	6	27	6	636104.76541	25	
Q9VI21	Dementin, isoform D	3.92	3	3	0	1756.0655	2	
Q9VI24	LD25151p	7.73	3	3	3	3439.82215	2	
Q9VI53	LD44267p	14.93	6	13	6	30315.27401	10	
Q9VI57	Dephospho-CoA kinase domain-containing protein	16.95	4	6	4	22735.3746	3	
Q9VI64	LD30995p	47.03	13	57	13	871834.19589	51	
