Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F1	Abundances Count: F5: 126, Sample, n/a, SFug_F1	Modifications
P49455	Tropomyosin-1, isoforms 33/34	42.08	34	310	1	327.2953	1	
P49630	Large ribosomal subunit protein eL36	16.52	2	8	0	280121.39959	8	
P49657	Serine/threonine-protein kinase minibrain	1.65	2	2	0	4539.0678	2	
P49847	Transcription initiation factor TFIID subunit 6	11.22	6	8	1	20895.355900000002	6	
P49866	Transcription factor HNF-4 homolog	2.7	2	3	0	346.44647	1	
P49906	Transcription initiation factor TFIID subunit 11	9.69	2	2	2	7194.149600000001	2	
P49963	Signal recognition particle 19 kDa protein	29.38	3	5	3	8013.0758	3	
P50882	Large ribosomal subunit protein uL6	58.42	10	32	0	903030.91174	28	
P50887	Large ribosomal subunit protein eL22	24.08	8	18	8	145584.98576	17	
P51140	Segment polarity protein dishevelled	7.06	5	6	5	11633.3822	5	
P51406	Bystin	5.96	3	4	3	478.26135	1	
P52029	Glucose-6-phosphate isomerase	13.44	7	11	7	105979.5091	9	
P52034	ATP-dependent 6-phosphofructokinase	7.99	7	11	1	26201.144800000002	8	
P52302	Protein lethal(3)malignant blood neoplasm 1	20.37	10	33	0	308781.0808	26	
P52486	Ubiquitin-conjugating enzyme E2-22 kDa	39.7	8	14	0	16737.35177	6	
P52654	Transcription initiation factor IIA subunit 1	5.19	2	2	2	2269.3267	1	
P53034	Replication factor C subunit 2	16.31	6	9	6	22495.90951	8	
P53501	Actin-57B	77.13	31	817	3	7671869.27319	96	
P53624	Mannosyl-oligosaccharide alpha-1,2-mannosidase IA	3.9	3	4	0	6319.4259	3	
P53777	Muscle LIM protein 1	56.52	5	52	0	370000.64536	32	
P53997	Protein SET	11.52	3	3	3	30368.5544	3	
P54185	Putative odorant-binding protein A5	12.38	3	6	3	118081.5061	6	
P54191	General odorant-binding protein 69a	13.51	2	10	2	66913.03204	10	
P54192	General odorant-binding protein 19d	71.33	11	165	11	11296845.98236	149	
P54193	General odorant-binding protein 83a	42.86	7	24	0	620061.51404	23	
P54195	General odorant-binding protein 28a	26.57	4	24	4	228801.98007	19	
P54351	Vesicle-fusing ATPase 2	15.16	12	32	0	5884.06564	3	
P54352	Ethanolamine kinase	15.25	7	8	5	44976.93608	7	
P54353	Putative peptidyl-prolyl cis-trans isomerase dodo	41.57	6	13	6	232688.97387	12	
P54357	Myosin-2 essential light chain	89.12	10	58	1	922362.44024	46	
P54359	Septin-2	8.83	4	13	1	43486.9004	11	
P54367	Casein kinase I isoform alpha	5.04	2	2	0	2193.555	1	
P54385	Glutamate dehydrogenase, mitochondrial	47.69	26	97	7	1946226.92658	83	
P54397	39 kDa FK506-binding nuclear protein	4.2	2	2	2	6422.77956	2	
P54399	Protein disulfide-isomerase	67.14	31	156	0	6834342.62067	136	
P54611	V-type proton ATPase subunit E	84.07	25	202	0	7648962.00278	153	
P54622	Single-stranded DNA-binding protein, mitochondrial	23.97	4	9	4	106913.5399	9	
P55035	26S proteasome non-ATPase regulatory subunit 4	56.82	11	28	0	122323.47944	20	
P55828	Small ribosomal subunit protein uS10	41.67	5	13	5	295892.9693	10	
P55830	Small ribosomal subunit protein eS1	59.7	19	95	19	2124275.5990999998	76	
P55841	Large ribosomal subunit protein eL14	45.78	10	32	10	917879.23915	28	
P55935	Small ribosomal subunit protein uS4	53.33	15	63	0	1080497.02781	55	
P56079	Phosphatidate cytidylyltransferase, photoreceptor-specific	4.03	2	5	0	15514.23108	4	
P56538	Eukaryotic translation initiation factor 6	11.43	3	12	3	82900.54305000001	10	
P61209	ADP-ribosylation factor 1	35.16	5	15	0	651340.0612	11	
P61849	Dromyosuppressin	28.0	2	2	0	85518.039	2	
P61851	Superoxide dismutase [Cu-Zn]	78.43	12	152	12	5964766.98909	117	
P61855	Adipokinetic hormone	24.05	1	3	1	13220.1715	2	
P61857	Tubulin beta-2 chain	42.38	15	197	1	2797174.844	3	
P62152	Calmodulin	98.66	18	386	0	17368129.15244	291	
P80455	Small ribosomal subunit protein eS12	70.5	7	43	7	853739.03911	26	
P81829	Leucokinin	11.88	2	3	2	3321.81085	3	
P81900	cAMP-dependent protein kinase type II regulatory subunit	58.89	19	69	19	2089919.9086	59	
P82147	Protein lethal(2)essential for life	67.91	11	56	0	1017425.91308	40	
P82295	Prominin-like protein	2.47	2	2	0	498.61026	1	
P82804	Partner of Y14 and mago	7.73	1	2	1	377.86905	1	
P82890	Low molecular weight phosphotyrosine protein phosphatase 1	28.39	5	20	5	596934.66652	18	
P83094	Stromal interaction molecule homolog	13.86	8	20	0	36874.6806	11	
P83967	Actin, indirect flight muscle	68.88	28	754	2	103055.158	2	
P84029	Cytochrome c-2	72.22	13	152	0	10647712.29558	130	
P84040	Histone H4	57.28	7	79	0	3177970.899	71	
P84051	Histone H2A	37.1	7	32	0	1086702.9113	11	
P84345	ATP synthase protein 8	18.87	1	1	1	56223.18	1	
P91664	Protein max	14.29	3	4	0	6737.49486	3	
P91685	Metabotropic glutamate receptor	3.28	4	6	0	5544.5104	3	
P91891	Protein Mo25	24.78	10	27	0	386303.08457	26	
P91926	AP-2 complex subunit alpha	10.32	12	23	11	104560.2713	16	
P91927	Mitochondrial proton/calcium exchanger protein	16.58	20	38	20	249106.98127000002	32	
P91928	MICOS complex subunit Mic60	45.33	36	145	0	2803951.41513	119	
P91929	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 10, mitochondrial	32.43	13	57	0	1746583.99741	45	
P91938	Thioredoxin reductase 1, mitochondrial	35.4	13	36	0	869531.37435	35	
P92029	DnaJ-like protein 60	3.69	1	2	0	1106.3653	2	
P92177	14-3-3 protein epsilon	77.86	25	246	23	7915430.55037	153	
P92204	Negative elongation factor E	9.64	3	7	3	12049.66332	5	
P92208	Stress-activated protein kinase JNK	4.3	2	3	0	7140.76686	2	
P98081	Protein disabled	4.99	10	17	0	19189.70668	11	
Q00174	Laminin subunit alpha	17.05	68	162	68	2292367.59015	135	
Q00963	Spectrin beta chain	23.88	59	161	1	2584.9660999999996	2	
Q01603	Peroxidase	7.68	5	10	0	66584.25630000001	9	
Q01604	Phosphoglycerate kinase	83.37	30	234	0	8831904.09333	184	
Q01637	Uridine 5'-monophosphate synthase	10.34	6	8	6	35403.01724	7	
Q01819	Connectin	3.52	3	4	0	33676.0577	3	
Q01989	Myosin heavy chain 95F	2.08	3	3	0	56077.411700000004	2	
Q02748	Eukaryotic initiation factor 4A	39.7	15	35	13	265821.00787000003	27	
Q02910	Calphotin	3.94	3	9	3	89872.51594	8	
Q03017	NF-kappa-B inhibitor cactus	15.8	6	13	0	30668.739350000003	9	
Q03043	cGMP-dependent protein kinase, isozyme 2 forms cD4/T1/T3A/T3B	6.25	5	5	0	389.80072	1	
Q03334	Small ribosomal subunit protein uS15	42.38	9	34	0	344233.88045	26	
Q03427	Lamin-C	55.88	41	164	3	1848535.57069	117	
Q04047	Protein no-on-transient A	21.86	12	30	0	67264.75147	13	
Q04164	Putative epidermal cell surface receptor	8.39	15	27	0	108172.14194	20	
Q04691	Fat-body protein 1	28.38	28	55	0	130255.10602	34	
Q05783	High mobility group protein D	24.11	3	11	0	38704.0591	7	
Q05825	ATP synthase subunit beta, mitochondrial	86.93	39	648	0	22526661.33558	456	
Q05856	Small nuclear ribonucleoprotein-associated protein B	14.07	3	4	3	20140.139	1	
Q06559	Small ribosomal subunit protein uS3	80.89	23	114	0	3075335.32458	90	
Q06943	High mobility group protein Z	31.53	4	12	0	64068.6927	7	
Q07093	Head-specific guanylate cyclase	9.32	7	10	7	13917.33331	7	
Q07152	Inosine-5'-monophosphate dehydrogenase	14.34	7	18	0	501500.8383	17	
Q07171	Gelsolin	24.44	18	56	0	529318.38426	42	
Q07327	Protein ROP	24.79	15	61	0	309660.3011	46	
Q08012	Growth factor receptor-bound protein 2	40.28	9	23	9	378046.3004	18	
Q08180	Irregular chiasm C-roughest protein	4.97	4	7	0	9769.3292	5	
Q08473	RNA-binding protein squid	38.08	8	17	0	509940.38397	15	
Q09024	Neural/ectodermal development factor IMP-L2	10.11	3	5	0	16388.823669999998	5	
Q09101	Locomotion-related protein Hikaru genki	4.49	4	8	4	13440.537090000002	4	
Q0E8C8	Serine protease inhibitor 77Ba	9.11	4	8	4	49189.90776	7	
Q0E940	Eukaryotic translation initiation factor 3 subunit B	6.23	5	6	0	23365.4498	6	
Q0E9B6	Small ribosomal subunit protein uS17	45.81	11	25	7	158670.9336	20	
Q0KHQ5	Serine/threonine-protein kinase Tao	1.73	2	2	0	1461.5798399999999	2	
Q0KIC3	Uncharacterized protein CG43427	6.27	9	12	0	8269.9672	4	
Q10714	Angiotensin-converting enzyme	10.08	10	20	0	188150.29116	19	
Q11002	Calpain-A	3.38	3	4	0	10883.7711	3	
Q23970	Pheromone-binding protein-related protein 6	58.87	9	59	9	1440436.4582	57	
Q23983	Alpha-soluble NSF attachment protein	74.32	19	81	19	2401887.8681199998	70	
Q23997	Imaginal disk growth factor 6	56.64	25	99	0	2136323.13643	79	
Q24008	Inactivation-no-after-potential D protein	55.93	36	157	1	3454245.33343	112	
Q24046	Sodium/potassium-transporting ATPase subunit beta-1	44.01	14	59	0	1225708.9892	51	
Q24048	Sodium/potassium-transporting ATPase subunit beta-2	67.8	18	110	0	3797291.63935	96	
Q24050	Elongator complex protein 5	26.34	6	9	6	29875.528550000003	9	
Q24114	Division abnormally delayed protein	9.11	6	13	0	181734.73888	12	
Q24133	DnaJ protein homolog 1	14.37	5	14	0	188265.71469	12	
Q24134	Negative elongation factor D	2.42	2	2	0	21863.799	1	
Q24180	Deformed epidermal autoregulatory factor 1	3.82	2	2	0	27448.203	1	
Q24185	Protein hook	24.45	18	32	18	239832.99128000002	26	
Q24186	Small ribosomal subunit protein uS7A	31.58	9	35	0	625925.91764	29	
Q24207	Protein boule	21.93	4	8	0	32460.849029999998	5	
Q24208	Eukaryotic translation initiation factor 2 subunit 3	25.68	14	24	0	128214.39905	20	
Q24210	Peripheral plasma membrane protein CASK	6.35	6	7	0	15565.0474	5	
Q24211	Protein stoned-A	45.41	30	66	0	898504.00639	56	
Q24214	Calcineurin subunit B type 2	62.35	8	29	0	542761.85684	27	
Q24238	Alkaline phosphatase 4	11.91	7	13	7	42028.33632	8	
Q24246	Cytoplasmic dynein 1 intermediate chain	5.43	4	9	0	20337.89799	8	
Q24251	ATP synthase subunit d, mitochondrial	84.27	18	166	0	7494522.84318	140	
Q24276	Hsp90 co-chaperone Cdc37	29.31	11	31	11	183658.06636	26	
Q24292	Protein dachsous	1.48	5	5	0	3355.7097599999997	4	
Q24297	Small nuclear ribonucleoprotein F	34.09	3	9	3	145004.11000000002	2	
Q24298	DE-cadherin	12.94	19	36	19	199750.01052	30	
Q24312	DNA-binding protein Ewg	4.64	4	6	2	37004.9851	5	
Q24318	Transcription factor Dp	18.2	7	10	1	12793.546690000001	6	
Q24319	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit	6.24	3	5	3	11291.4232	3	
Q24322	Semaphorin-1A	5.78	5	6	0	782.3976	1	
Q24337	Protein enhancer of rudimentary	39.42	5	10	0	41837.43263	8	
Q24372	Lachesin	10.03	5	9	5	30855.306	6	
Q24388	Larval serum protein 2	9.56	7	10	0	22452.64704	7	
Q24400	Muscle LIM protein Mlp84B	46.87	24	110	23	1315451.93529	84	
Q24407	ATP synthase-coupling factor 6, mitochondrial	59.43	8	46	0	2634964.22884	36	
Q24439	ATP synthase subunit O, mitochondrial	72.73	19	198	19	8044485.6749599995	164	
Q24478	Centrosome-associated zinc finger protein Cp190	14.42	15	51	15	108981.93743	31	
Q24491	RNA-binding protein Rsf1	32.49	8	22	0	74775.43024	12	
Q24492	Replication protein A 70 kDa DNA-binding subunit	10.78	7	9	7	27246.40417	7	
Q24509	Syntaxin-5	8.14	4	5	0	11609.5708	2	
Q24523	Protein bunched, class 2/F/G isoform	5.48	8	20	0	73910.49999	15	
Q24524	Protein singed	5.66	3	5	0	3103.9949	1	
Q24537	High mobility group protein DSP1	12.21	5	19	0	116453.16380000001	15	
Q24547	Syntaxin-1A	39.18	13	60	0	1342789.26806	54	
Q24560	Tubulin beta-1 chain	83.45	27	307	3	11584824.85782	248	
Q24562	Splicing factor U2AF 50 kDa subunit	10.1	4	7	0	34111.2228	7	
Q24572	Chromatin assembly factor 1 p55 subunit	17.67	7	16	1	76845.62999	13	
Q24583	V-type proton ATPase subunit F 1	57.26	7	48	7	849139.5359199999	41	
Q26377	Pro-corazonin	20.13	3	12	3	31316.5378	5	
Q26416	Adult cuticle protein 1	20.0	1	2	1	80023.055	1	
Q27237	DnaJ homolog l(2)tid, mitochondrial	24.81	11	16	2	40875.754649999995	12	
Q27268	ATP-dependent RNA helicase WM6	25.71	10	16	5	259931.39484	11	
Q27272	Transcription initiation factor TFIID subunit 9	23.38	6	8	6	29650.74915	6	
Q27331	V-type proton ATPase catalytic subunit A isoform 2	55.05	29	112	0	931212.51186	45	
Q27377	Putative odorant-binding protein A10	43.87	6	31	6	519474.35711	22	
Q27415	Nucleoplasmin-like protein	43.42	6	51	0	1122642.54882	36	
Q27580	Adenosylhomocysteinase	17.13	6	9	0	183104.36190000002	8	
Q27597	NADPH--cytochrome P450 reductase	13.99	11	25	0	120900.89706	21	
Q27606	Cytochrome P450 4e2	5.89	3	4	0	2525.8636	2	
Q27869	Protein-L-isoaspartate(D-aspartate) O-methyltransferase	15.04	3	13	0	51738.1577	9	
Q27889	Serine/threonine-protein phosphatase 2B catalytic subunit 2	35.96	16	64	0	85106.00036	10	
Q2PE14	Zinc finger CCHC domain-containing protein 8 homolog	6.15	4	4	4	11600.6431	4	
Q3KN41	Neurexin 1	4.46	8	11	0	20958.0357	6	
Q45VV3	Transcriptional coactivator yorkie	11.65	5	7	0	10763.47243	5	
Q4V5I9	Succinate dehydrogenase assembly factor 2-A, mitochondrial	32.52	2	2	2	48756.47	2	
Q4V645	Trissin	13.89	2	4	2	13242.5007	3	
Q4Z8K6	Ran-binding proteins 9/10 homolog	3.33	3	5	0	12480.570199999998	3	
Q59E04	Neuroendocrine protein 7B2	7.97	2	4	2	36646.5009	4	
Q5U117	Complex I assembly factor Egm, mitochondrial	6.1	4	6	4	14630.3264	6	
Q6AWN0	Acireductone dioxygenase	43.01	7	14	7	235535.89214	13	
Q6NN40	Alpha N-terminal protein methyltransferase 1	7.61	2	2	0	421.73114	1	
Q6WV19	Polypeptide N-acetylgalactosaminyltransferase 2	6.32	4	5	4	10047.20636	4	
Q709R6	LEM domain-containing protein Bocksbeutel	12.53	5	5	5	6329.31055	4	
Q70PY2	Peptidoglycan-recognition protein SB1	14.74	3	6	3	101694.8977	6	
Q7JQW6	Lipoyl synthase, mitochondrial	4.24	2	4	2	13637.538700000001	3	
Q7JR49	V-type proton ATPase subunit S1	9.23	3	11	3	222439.63059999997	9	
Q7JR71	Extracellular superoxide dismutase [Cu-Zn]	27.07	4	21	1	384199.73398	14	
Q7JUR6	Protein GDAP2 homolog	8.89	5	6	0	26711.01762	5	
Q7JUY7	PTB domain-containing adapter protein ced-6	16.63	7	19	0	95928.58785	14	
Q7JVI3	Eukaryotic translation initiation factor 3 subunit M	27.91	9	32	0	667098.3547	29	
Q7JW27	WASH complex subunit 1	7.01	3	3	3	3297.8054	1	
Q7JWD3	ATPase ASNA1 homolog	25.6	7	12	7	28665.20781	9	
Q7JWR9	Zinc finger CCCH domain-containing protein 15 homolog	10.4	4	7	0	29227.14952	7	
Q7JXF5	Nuclear pore glycoprotein p62	13.96	6	14	6	113510.9411	11	
Q7JXF7	Protein seele	23.28	4	11	4	155175.6943	10	
Q7JYV2	Synaptogyrin	7.88	1	1	1	76635.63	1	
Q7JZB4	Mannose-1-phosphate guanylyltransferase catalytic subunit beta	2.98	1	1	0	640.9349	1	
Q7JZV0	Cuticular protein 47Eg	19.66	2	4	2	11860.943220000001	4	
Q7K0D8	Nuclear pore complex protein Nup50	20.21	12	24	12	117699.32174	22	
Q7K0E3	MOB kinase activator-like 4	22.42	4	5	0	177611.8102	4	
Q7K0L4	WD repeat-containing protein 26 homolog	2.22	2	3	0	4421.6296999999995	2	
Q7K1U0	Activity-regulated cytoskeleton associated protein 1	22.83	7	13	7	34197.58523	7	
Q7K1Z5	Ubiquitin-fold modifier-conjugating enzyme 1	33.54	4	8	4	36140.1775	4	
Q7K237	Glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase 1	5.41	2	2	0	441.8805	1	
Q7K2D2	Dynactin subunit 2	46.58	16	45	16	610682.54856	41	
Q7K2G1	Proteasomal ubiquitin receptor ADRM1 homolog	53.47	14	39	1	17305.0512	2	
Q7K486	Armadillo repeat-containing protein 6 homolog	13.58	7	11	7	71950.12913	10	
Q7K4Q5	Probable protein phosphatase CG10417	21.9	11	25	0	81470.89358	21	
Q7K4Z4	Protein immune deficiency	14.65	3	8	3	14400.599339999999	6	
Q7K550	Eukaryotic translation initiation factor 3 subunit J	36.44	8	22	0	208992.5226	21	
Q7K556	TRPL translocation defect protein 14	10.11	5	8	0	56400.2925	8	
Q7K5K3	Pyruvate dehydrogenase E1 component subunit beta, mitochondrial	44.66	16	73	16	4340927.0322	63	
Q7K5M0	Inactive serine protease scarface	14.35	6	17	6	56761.64538	11	
Q7K738	Ubiquitin-conjugating enzyme E2-18 kDa	54.55	7	19	7	266946.44529	19	
Q7KLV9	26S proteasome non-ATPase regulatory subunit 11	45.26	20	45	0	519378.12304000003	38	
Q7KML2	Acyl-coenzyme A oxidase 1	3.89	3	4	3	8561.396	3	
Q7KN62	Transitional endoplasmic reticulum ATPase TER94	26.34	22	54	1	621608.17787	44	
Q7KN90	Cysteine--tRNA ligase, cytoplasmic	7.96	7	12	7	40766.72998	7	
Q7KNF2	Polyadenylate-binding protein 2	27.68	7	11	0	107770.71466	10	
Q7KQM6	GIGYF family protein Gyf	7.56	13	18	13	52898.82053	13	
Q7KRI2	Longitudinals lacking protein-like	29.13	4	12	0	95065.06360000001	9	
Q7KRU8	Ferritin heavy chain	75.12	12	70	2	8105332.90207	53	
Q7KRW8	Pre-mRNA-processing factor 39	3.85	4	4	4	1773.0125600000001	2	
Q7KTH8	COP9 signalosome complex subunit 8	21.43	5	15	5	134070.36235	15	
Q7KUT2	Lon protease homolog, mitochondrial	11.33	13	27	13	155890.77401	22	
Q7KVQ0	H/ACA ribonucleoprotein complex subunit 1	10.13	3	5	3	12752.06637	5	
Q7KW14	Coiled-coil domain-containing protein CG32809	11.43	11	14	0	36807.80163	8	
Q7KW39	Probable methylmalonate-semialdehyde/malonate-semialdehyde dehydrogenase [acylating], mitochondrial	34.23	14	60	14	1912867.97672	54	
Q7PLI7	Serine/threonine-protein kinase CG17528	4.41	3	3	3	3716.7987	2	
Q7YTY6	Serine protease inhibitor 42Dd	16.4	5	9	5	48981.45157	7	
Q867Z4	Longitudinals lacking protein, isoforms F/I/K/T	11.75	10	23	3	86484.02908000001	17	
Q868Z9	Papilin	20.36	51	134	51	583676.67808	84	
Q86B79	RING finger protein unkempt	1.34	1	2	0	379.37628	1	
Q86B87	Modifier of mdg4	7.54	5	9	0	71816.34665	8	
Q86BL4	Glutamyl-tRNA(Gln) amidotransferase subunit C, mitochondrial	28.38	4	7	4	29801.552	5	
Q86BN8	Phosphatidylglycerophosphatase and protein-tyrosine phosphatase 1	13.0	3	3	3	14629.76552	3	
Q86NP2	Negative elongation factor A	8.87	10	18	0	72992.48222	14	
Q86P48	AT-rich binding protein	8.76	3	6	3	1793.7932	2	
Q86S05	Protein lingerer	2.69	3	7	0	9121.65138	3	
Q8I0G5	Coatomer subunit gamma	10.08	10	16	0	32685.7967	10	
Q8I7C3	LIM and SH3 domain protein Lasp	17.66	12	37	0	383538.3101	27	
Q8IH18	Eukaryotic translation initiation factor 4E transporter	14.26	15	19	15	35211.6495	13	
Q8IN41	Protein Turandot X	16.2	2	4	2	9136.4696	3	
Q8IN43	Protein Turandot C	48.84	5	12	5	86716.35407999999	7	
Q8IN44	Protein Turandot A	52.71	7	33	7	444194.13807	26	
Q8INI8	Major heat shock 70 kDa protein Ba	22.93	14	84	0	130347.99583	16	
Q8IPJ3	E3 ubiquitin-protein ligase lubel	1.14	4	4	1	10676.1117	3	
Q8IPM8	Complexin	65.49	10	81	0	29531.533	4	
Q8IPW2	SH2/SH3 adapter protein dreadlocks	14.23	7	19	7	37206.48235	12	
Q8IPX7	Exosome complex component RRP40	17.24	4	5	4	3580.14653	3	
Q8IPZ3	NAD(P)H oxidoreductase RTN4IP1, mitochondrial	11.62	4	9	4	14588.7603	3	
Q8IQ56	Transmembrane protein 11 homolog, mitochondrial	23.63	5	10	0	75213.888	4	
Q8IQ70	Calcium uniporter protein, mitochondrial	12.57	5	16	5	202387.79007	15	
Q8IQG1	MOB kinase activator-like 2	10.07	6	10	0	51344.9985	6	
Q8IQG9	Adenylate kinase 1	48.91	9	31	9	422690.1971	21	
Q8IR45	BLOC-1-related complex subunit 8 homolog	16.94	3	6	3	27371.892099999997	4	
Q8IRH5	Zinc finger protein indra	3.27	3	4	3	16195.1076	4	
Q8MKJ4	General odorant-binding protein 57b	6.38	1	1	0	12438.422	1	
Q8MKK0	General odorant-binding protein 57a	10.65	2	3	2	966.9404999999999	2	
Q8MKN0	Ubiquinone biosynthesis protein COQ9, mitochondrial	18.1	6	16	6	125010.4136	12	
Q8MLY8	Small ribosomal subunit protein eS8	49.04	10	42	0	1122164.44104	33	
Q8MLZ7	Chitinase-like protein Idgf3	24.49	9	20	0	150840.4436	17	
Q8MM24	Chitinase-like protein Idgf1	1.59	1	1	1	1712.0343	1	
Q8MMC4	Protein CDV3 homolog	22.14	6	10	1	21812.49387	7	
Q8MR31	Slo-interacting protein 1	4.69	4	5	0	1515.4237	3	
Q8MR45	Putative N(4)-(beta-N-acetylglucosaminyl)-L-asparaginase CG1827	8.65	3	6	3	49449.48857	4	
Q8MR62	Phosducin-like protein 2	16.25	5	13	5	134742.90720000002	12	
Q8MSS1	Protein lava lamp	23.79	65	113	0	255564.13117	83	
Q8MSU3	Ferric reductase 1	3.55	2	3	0	8945.127700000001	3	
Q8MSV2	Protein alan shepard	8.98	7	17	7	155478.83101	13	
Q8MSX2	Mediator of RNA polymerase II transcription subunit 6	8.43	2	2	0	706.289	1	
Q8MT06	Guanine nucleotide-binding protein-like 3 homolog	3.1	2	3	2	3268.86424	2	
Q8SWR8	Ataxin-2 homolog	7.29	7	15	2	30993.82371	9	
Q8SWU7	Obg-like ATPase 1	34.26	13	28	0	628043.33186	24	
Q8SX68	CTTNBP2 N-terminal-like protein	21.18	12	21	12	53918.9783	14	
Q8SXY6	Transmembrane emp24 domain-containing protein bai	32.04	5	18	5	209010.0119	15	
Q8SY33	Protein Gawky	8.6	11	32	11	81705.52833	25	
Q8SY61	General odorant-binding protein 56d	66.41	8	69	0	3094424.31208	61	
Q8SY96	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	32.86	7	15	7	445720.40606999997	14	
Q8SYD0	Tetratricopeptide repeat protein 19 homolog, mitochondrial	7.05	3	6	3	10236.13783	3	
Q8SYG2	COP9 signalosome complex subunit 3	1.8	1	1	1	9440.477	1	
Q8SYS7	Probable cytosolic Fe-S cluster assembly factor CG17683	3.98	2	2	2	1518.6599299999998	2	
Q8SZ63	Golgin-84	10.27	6	8	6	14911.9051	4	
Q8SZA8	Adrenodoxin-like protein 2, mitochondrial	38.82	4	12	4	214697.761	10	
Q8T045	O-glucosyltransferase rumi	7.79	4	4	1	7070.9035	3	
Q8T079	Cytokine-like nuclear factor N-PAC	28.57	13	37	0	402680.90756	32	
Q8T0Q4	Charged multivesicular body protein 4	52.65	15	48	15	449366.70859	40	
Q8T0R7	Chitinase-like protein Idgf5	4.95	2	2	2	2590.7954	1	
Q8T390	Endophilin-A	53.66	19	86	0	2783797.9714	75	
Q8T3L6	Probable malonyl-CoA-acyl carrier protein transacylase, mitochondrial	14.78	7	9	7	94491.28779999999	8	
Q8T3U2	Small ribosomal subunit protein uS12	47.55	7	19	0	554535.2284	13	
Q8T3X9	Iron-sulfur cluster assembly 1 homolog, mitochondrial	44.62	5	14	5	153692.451	11	
Q8T6B9	Poly(U)-binding-splicing factor hfp	9.42	6	16	2	72001.92194	15	
Q8T8R1	CCHC-type zinc finger nucleic acid binding protein	43.03	6	10	6	2221.83116	5	
Q8T9B6	LDLR chaperone boca	54.44	10	38	10	288337.97809	27	
Q8WTC1	Small ribosomal subunit protein uS15m	15.36	4	7	4	13681.0802	3	
Q94511	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial	64.16	37	121	0	3107177.09355	109	
