Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 128N, Sample, n/a, SF1g_M1	Abundances Count: F5: 128N, Sample, n/a, SF1g_M1	Modifications
Q9VPC1	Distal membrane arm assembly component 2	6.34	2	2	2	44558.562	2	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	3.65	2	3	0	14276.5076	3	
Q9VPL3	Large ribosomal subunit protein uL10m	12.5	4	7	4	40817.591100000005	5	
Q9VPQ2	DnaJ homolog shv	8.76	4	6	4	15003.5681	3	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	42.17	8	52	8	2769915.66678	41	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	25	5	725746.33738	21	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	11.91	8	11	0	43553.216799999995	9	
Q9VQ91	Tudor and KH domain-containing protein homolog	11.46	6	9	6	13344.35964	7	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	9.86	4	6	4	59685.9819	6	
Q9VQC4	Glycerate kinase	13.14	9	14	0	83153.0902	13	
Q9VQF7	Bacchus	38.16	4	21	4	376718.6211	18	
Q9VQG4	Congested-like trachea protein	24.84	9	25	8	266294.25562	24	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	17.59	7	17	7	265204.44337	14	
Q9VQX4	Nicotinate phosphoribosyltransferase	6.85	4	7	0	34358.9465	6	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	12.56	9	22	0	174741.2424	19	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	2.0	3	3	0	928.1906	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	3.84	2	4	0	5118.700879999999	3	
Q9VR89	RNA-binding protein pno1	6.25	2	3	2	16407.5142	2	
Q9VR94	General odorant-binding protein 19a	10.27	2	3	2	23641.9408	3	
Q9VRJ9	Ubiquitin thioesterase Otu1	14.41	5	17	0	82544.7436	12	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	6	3	1637.9006	1	
Q9VRL3	Probable prefoldin subunit 4	14.49	3	6	3	116490.514	4	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	5.56	7	8	0	12623.00275	7	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	5.88	3	8	3	10366.5128	5	
Q9VRV7	Splicing factor 3B subunit 6	30.58	4	7	4	42873.14837	6	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	50823.10106	7	
Q9VS34	Large ribosomal subunit protein eL18	26.06	4	16	0	333986.84229999996	12	
Q9VS97	Peptidoglycan-recognition protein SD	12.9	3	4	3	31528.2316	3	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	47.02	20	86	20	1700799.09351	73	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	25.97	6	11	0	75439.3046	9	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	3.37	2	2	1	2060.109	1	
Q9VSJ8	Exocyst complex component 7	10.53	8	12	8	28197.54331	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	7.77	6	6	6	24014.1641	5	
Q9VSL3	Pyrimidodiazepine synthase	55.97	11	73	10	3386123.01394	57	
Q9VSR3	Translational regulator orb2	7.39	4	5	0	7840.923	2	
Q9VSS1	Protein Pixie	5.56	4	4	4	24081.3422	3	
Q9VSS2	Signal recognition particle subunit SRP68	12.42	8	13	8	58380.427879999996	12	
Q9VSU7	Vesicle transport protein USE1	22.8	6	9	6	29323.27638	8	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	33.84	18	61	8	704705.22437	45	
