Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 129N, Sample, n/a, Earth_M2	Abundances Count: F5: 129N, Sample, n/a, Earth_M2	Modifications
Q7JV09	GH28348p	4.84	5	5	2	23548.800799999997	5	
Q7JV69	SD11922p	11.76	4	9	4	112624.61554	8	
Q7JVG2	diphosphoinositol-polyphosphate diphosphatase	15.82	2	3	2	13375.5803	3	
Q7JVH6	LD24696p	47.27	12	27	11	455833.54446	17	
Q7JVI6	Glutathione S transferase E13, isoform A	14.6	3	9	3	98184.2868	8	
Q7JVK6	Translin	24.26	6	8	6	138940.338	8	
Q7JVK8	GEO08987p1	53.42	7	13	7	947358.6293	13	
Q7JVM1	GH25962p	22.64	5	6	5	58907.58316	4	
Q7JVX3	Zinc carboxypeptidase A 1	18.2	7	8	0	150072.38950000002	7	
Q7JVZ8	Glutathione S transferase E11, isoform A	23.56	7	8	7	166593.322	8	
Q7JW03	Ubiquitin-conjugating enzyme E2 H	18.58	4	8	4	71475.4256	4	
Q7JW48	RE12410p	5.57	2	2	2	2062.338	1	
Q7JWD6	Elongin-C	46.15	5	17	5	1637242.1787999999	17	
Q7JWF1	Electron transfer flavoprotein-ubiquinone oxidoreductase	18.21	12	28	12	1541271.9387	28	
Q7JWH5	RING-box protein 2	27.43	2	3	2	46221.056	3	
Q7JWQ7	RE01730p	5.34	2	3	2	11900.562399999999	3	
Q7JWU9	AT07420p	19.68	5	5	5	37922.729	3	
Q7JWX3	GH10112p	22.48	7	11	7	200104.24726	11	
Q7JX87	1-Cys peroxiredoxin	55.0	11	48	1	120778.44399999999	5	
Q7JX94	Phospholipase A2	15.61	3	3	3	6891.67382	2	
Q7JXB5	Phosphoenolpyruvate carboxykinase [GTP]	9.56	7	7	1	97521.151	7	
Q7JXB9	Endonuclease	10.65	3	3	3	68783.05	3	
Q7JXC4	CG6459 protein	33.46	6	38	6	2672577.6061	37	
Q7JXW8	Off-track2	4.39	2	2	2	11919.177	2	
Q7JXZ2	cystathionine gamma-lyase	19.59	6	8	6	103656.2319	8	
Q7JYH3	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 11	30.59	4	8	4	774691.605	8	
Q7JYW9	Phosphotransferase	19.38	9	13	9	165989.33060000002	13	
Q7JYX5	Vesicle-associated membrane protein 7	11.93	3	5	3	32091.380100000002	5	
Q7JYZ0	lysozyme	39.13	4	9	4	282570.0598	8	
Q7JYZ9	Glutathione S transferase E2	31.22	7	19	7	332531.5112	16	
Q7JZB1	RE49860p	2.09	1	1	1	3540.118	1	
Q7JZD3	Eb1, isoform A	56.7	14	33	0	1515202.08935	29	
Q7JZD5	Dorsal interacting protein 3	6.32	2	2	2	4091.0188	2	
Q7JZE1	Peroxin 11	6.22	2	2	2	55246.157999999996	2	
Q7JZF5	DNA-directed RNA polymerases I, II, and III subunit RPABC1	8.57	2	3	2	141513.15	3	
Q7JZK1	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6	47.58	10	37	10	3855289.2941	32	
Q7JZN0	Protein transport protein Sec61 subunit beta	56.0	5	15	5	131923.13035	13	
Q7JZW0	Cuticular protein 51A	62.5	11	31	11	643848.9759	23	
Q7JZW2	40S ribosomal protein S15	61.49	7	18	2	1842717.844	17	
Q7K012	Brahma associated protein 55kD	13.18	4	6	4	33280.9889	4	
Q7K076	GEO08269p1	22.14	2	2	0	23310.203	1	
Q7K084	Odorant-binding protein 44a, isoform A	70.63	13	163	13	17430415.75768	135	
Q7K0A0	Large ribosomal subunit protein mL42	7.26	1	1	1	30136.684	1	
Q7K0B6	Glutathione S transferase T1	57.46	14	37	14	1415307.72838	37	
Q7K0E6	Aspartate--tRNA ligase, cytoplasmic	13.37	5	7	5	62296.6969	4	
Q7K0P0	Juvenile hormone-inducible protein 26	4.1	2	3	2	69481.595	3	
Q7K0S1	LD39211p	1.83	1	1	1	2803.2588	1	
Q7K0S5	UBX domain-containing protein 6	34.47	18	25	18	392306.97903	20	
Q7K0S6	LD36817p	19.03	8	9	8	192084.3951	9	
Q7K0W4	LD27203p	46.95	14	45	14	2305912.97605	44	
Q7K0X9	LD23667p	23.4	5	12	5	132335.21360000002	11	
Q7K127	Alpha-galactosidase	15.83	7	17	7	264634.56669999997	14	
Q7K148	Proteasome subunit beta	22.34	6	8	6	106623.79656	8	
Q7K159	LD06557p	22.47	5	6	5	62524.621999999996	6	
Q7K180	LD02709p	22.5	11	14	11	158992.76538	13	
Q7K188	GEO05126p1	30.97	6	40	6	3045922.57453	38	
Q7K1C0	GH23780p	50.5	6	11	1	142429.6715	9	
Q7K1C3	Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	17.89	5	5	5	147347.352	5	
Q7K1C5	GH21176p	9.19	6	7	6	334712.5097	6	
Q7K1H0	GH09096p	20.06	7	8	6	99418.9988	7	
Q7K1M4	SD04017p	16.99	5	12	5	147601.7841	12	
Q7K1S1	Arginine-hydroxylase NDUFAF5, mitochondrial	9.91	4	6	4	143259.032	5	
Q7K1W5	LD35843p	30.05	12	20	12	861839.8909	20	
Q7K204	17S U2 SnRNP complex component HTATSF1	5.58	2	2	2	48268.8384	2	
Q7K221	Aspartate aminotransferase, cytoplasmic	31.01	12	32	1	804063.86111	25	
Q7K2E1	LD05247p	18.9	10	15	10	289646.5236	12	
Q7K2L7	GH27120p	28.14	4	11	4	803865.419	11	
Q7K2N0	Endoplasmic reticulum junction formation protein lunapark	7.49	3	3	3	39952.1768	3	
Q7K2P1	Cuticular protein 50Cb	11.24	2	3	2	25425.818	2	
