Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 129N, Sample, n/a, Earth_M3	Abundances Count: F8: 129N, Sample, n/a, Earth_M3	Modifications
M9PJM6	Upheld, isoform Q	52.58	35	114	1	11249.248	1	
M9PJQ5	Troponin I	49.46	15	70	0	1530283.733	14	
O15971	LD39986p	23.53	5	25	2	599956.425	4	
O16158	Calcium-binding protein	52.72	8	47	8	7115120.4829	39	
O17452	LD20793p	27.83	6	24	4	2472909.37915	22	
O18332	FI01544p	60.98	11	59	9	4134868.3797600004	45	
O18335	Rab11	64.49	14	53	14	9410946.2915	47	
O18336	Ras-related protein Rab-14	36.28	8	18	1	1221936.3157	15	
O18338	LD44762p	33.33	7	28	1	20712.7325	2	
O44226	Elongin-B	97.46	10	37	10	3423346.24828	34	
O44434	QKR58E-3	22.08	7	9	6	134004.179	7	
O46052	EG:152A3.3 protein	22.91	6	6	1	98300.2653	6	
O46067	Hypoxia up-regulated protein 1	31.2	27	48	27	1983403.1362700001	46	
O46079	Protein KTI12 homolog	7.69	3	3	2	705.5811	1	
O46085	Peroxisomal targeting signal 1 receptor	9.61	6	6	0	96489.3722	6	
O61444	mitogen-activated protein kinase kinase	15.09	6	6	6	180360.85259999998	5	
O61604	Fimbrin	32.5	22	57	2	5284163.8166000005	56	
O62530	Adaptor protein complex 2, mu subunit, isoform A	17.62	9	9	9	87694.8018	7	
O62602	mitogen-activated protein kinase kinase	15.27	5	5	5	41300.77527	5	
O76521	Importin subunit alpha	7.0	4	6	4	120370.8174	6	
O76752	Sepiapterin reductase	36.02	9	16	9	577262.432	14	
O76877	EG:132E8.3 protein	20.62	3	8	3	858969.9493999999	8	
O77134	ATP synthase F(0) complex subunit e, mitochondrial	25.93	5	30	4	11980285.1771	25	
O77259	EG:115C2.5 protein	4.5	1	1	0	3219.6282	1	
O77425	Ribokinase	19.41	5	5	5	97508.3414	5	
O77430	GEO01111p1	83.95	15	32	13	2242869.40409	29	
O77434	EG:34F3.8 protein	34.6	6	12	1	363331.89226	7	
O77477	LD24471p	22.41	8	11	8	256114.72639999999	10	
O96299	Sorbitol dehydrogenase	21.94	8	11	2	27010.893	1	
O96692	small monomeric GTPase	27.47	5	6	2	533996.015	6	
O96824	Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5	68.0	6	7	6	301152.74052	7	
O96880	General transcription factor IIE subunit 1	5.59	2	2	2	1713.9467	1	
O96881	Transcription initiation factor IIE subunit beta	10.96	3	3	1	39368.3519	3	
O97059	Ccp84Ab	44.8	7	12	0	513106.6757	12	
O97062	Ccp84Ae	70.19	12	29	12	1349414.34704	26	
O97064	Ccp84Ag	39.27	6	11	6	384572.7304	10	
O97066	Signal peptidase complex catalytic subunit SEC11	10.81	2	2	2	62989.721699999995	2	
O97102	Small ubiquitin-related modifier	44.44	5	35	5	4155174.8281	32	
O97111	LD29223p	11.68	4	6	4	56637.3089	5	
O97183	DNA-directed RNA polymerase II subunit RPB3	6.91	1	1	1	2880.353	1	
O97365	BM-40	26.32	10	12	10	593564.143	11	
O97418	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7	79.61	9	32	9	6342476.0585	28	
O97428	Ciboulot, isoform A	37.21	4	6	1	218486.89359999998	6	
O97454	Protein BUD31 homolog	21.53	4	5	4	81473.9468	4	
O97479	Sorbitol dehydrogenase	21.11	9	13	3	358596.82885	12	
P91941	Adult cuticle protein 65Aa	60.0	4	191	4	19396044.8857	139	
P92181	Cuticle protein DCP2	37.61	3	10	3	176649.2996	8	
Q0E8E2	Phenoloxidase-activating factor 2	2.03	2	2	0	49772.020000000004	2	
Q0E8E8	Phosphate carrier protein, mitochondrial	49.16	16	84	13	9131730.2387	77	
Q0E8G6	Cleavage and polyadenylation specificity factor subunit 5	30.38	7	11	1	898924.5231000001	9	
Q0E8H9	beta-N-acetylhexosaminidase	6.91	5	6	0	222912.335	6	
Q0E8J0	MOG interacting and ectopic P-granules protein 1	4.86	4	5	4	3542.4436299999998	2	
Q0E8J3	Zormin, isoform I	22.12	73	116	0	4400069.34914	106	
Q0E8P1	Uncharacterized protein, isoform B	6.87	1	1	0	14696.885	1	
Q0E8P5	FI05614p	22.24	11	21	11	622178.00056	18	
Q0E8S7	Homer, isoform E	45.76	21	61	4	7115708.61505	54	
Q0E8U4	FI09636p	17.67	5	6	5	134397.849	6	
Q0E8V7	Mitochondrial import inner membrane translocase subunit	78.57	7	23	7	1995785.6729	23	
Q0E8X6	Translation initiation factor eIF2B subunit delta	11.28	5	6	0	171377.135	5	
Q0E8X7	Reduction of Rh1, isoform A	53.66	7	56	7	8408826.696560001	53	
Q0E8X8	ATP synthase F1 subunit epsilon	42.99	5	18	5	2202560.57444	18	
Q0E980	Uncharacterized protein, isoform C	39.0	19	29	19	717613.15143	25	
Q0E9B7	DNAation factor-related protein 3, isoform A	15.04	3	3	3	42925.2008	3	
Q0E9E2	Pyruvate carboxylase	32.58	36	66	0	1574115.08314	57	
Q0E9E6	RE33655p	5.43	3	3	1	45145.083	3	
Q0E9F9	Zinc carboxypeptidase A 1	27.59	12	22	12	865111.7192	20	
Q0E9G4	CG1600-PA	14.96	4	7	0	142605.7643	7	
Q0KHQ6	6-phosphofructo-2-kinase, isoform A	26.68	13	15	0	580410.647	14	
Q0KHR3	Bazooka, isoform B	2.37	2	2	0	5654.749	1	
Q0KHR7	Septin	13.58	6	8	0	196329.24300000002	7	
Q0KHX7	FI18193p1	7.31	9	9	0	41042.8768	7	
Q0KHZ6	Electron transfer flavoprotein subunit beta	71.94	19	148	19	32700071.28226	129	
Q0KI15	Complex III assembly factor LYRM7	29.93	5	5	5	47627.5276	4	
Q0KI25	Uncharacterized protein, isoform B	9.07	9	13	1	440450.52729999996	12	
Q0KI39	FI16806p1	18.15	3	5	1	4864.222	1	
Q0KI76	Uncharacterized protein, isoform A	25.0	12	25	0	1261564.0449	24	
Q0KI81	protein-tyrosine-phosphatase	8.19	11	12	11	189579.87	12	
Q0KI98	Tryptophan--tRNA ligase, cytoplasmic	11.4	5	7	5	310892.04199999996	7	
Q0KIB0	Sidestep III	0.95	1	1	1	8873.297	1	
Q0KIE7	Ankyrin, isoform B	4.71	7	7	5	87258.429	5	
Q1RL12	IP16413p	55.9	15	82	2	435328.65280000004	4	
Q24090	GH08712p	12.43	5	7	5	161864.6037	6	
Q24253	AP complex subunit beta	20.63	16	21	16	908544.721	21	
Q26459	EN protein binding protein	26.32	12	22	0	450985.7328	21	
Q29QY7	IP15859p	22.54	3	5	1	744392.3595	5	
Q2MGK7	GEO13330p1	48.03	7	9	7	423742.6793	9	
Q2PDM3	Uncharacterized protein, isoform C	1.22	3	3	3	21327.718500000003	2	
Q2PDR0	Dolichol-phosphate mannosyltransferase subunit 3	10.64	1	1	1	59708.035	1	
Q3YMU0	Protein disulfide-isomerase (Fragment)	64.62	33	159	33	21556702.9678	152	
Q494G8	F-box and leucine-rich repeat protein 6, isoform A	8.75	5	6	5	122053.1556	5	
Q4LDP7	NADH-cytochrome b5 reductase	31.01	11	21	0	1505794.8479	16	
Q4QPU3	Synaptic plasticity regulator PANTS	30.13	5	6	5	108477.48524000001	5	
Q4QQ49	IP09595p	7.43	2	3	2	7613.6203000000005	2	
Q4QQ70	IP09819p	23.98	7	9	7	121618.1536	7	
Q4V429	Cytochrome c oxidase assembly factor 5	13.92	1	1	1	7020.964	1	
Q4V5H1	Peptidyl-prolyl cis-trans isomerase	18.03	3	5	3	82142.0089	5	
Q4V619	IP07950p	27.16	5	6	1	54770.5846	5	
Q4V625	lysozyme	13.5	2	4	2	111429.608	4	
Q4V6M1	Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical]	57.75	7	16	7	1225895.3539	16	
Q500Y7	GEO11443p1	54.39	4	28	4	2445208.6153	25	
Q59DP4	Uncharacterized protein, isoform A	4.68	3	3	0	10259.732899999999	2	
